area_type,availability,location,society,total_sqft,bath,balcony,price,bhk
Super built-up  Area,Ready To Move,Rajiv Nagar,PuoodSk,2340.0,4.0,1.0,148.0,4
Built-up  Area,Ready To Move,Venkatadri Layout,Raiyai ,596.0,1.0,1.0,42.0,1
Plot  Area,Ready To Move,Kyalasanahalli,UpowsMe,1200.0,4.0,3.0,110.0,4
Super built-up  Area,Ready To Move,Ambedkar Colony,RMcesa ,1910.0,3.0,1.0,190.0,3
Super built-up  Area,Ready To Move,Brookefield,CidgeKn,1139.0,2.0,2.0,80.0,2
Super built-up  Area,Ready To Move,Thigalarapalya,Prtanha,3122.0,5.0,2.0,225.0,4
Super built-up  Area,Ready To Move,Yeshwanthpur,IBityin,1168.0,2.0,2.0,64.08,2
Built-up  Area,18-Jul,Electronics City Phase 1,Shitt S,1340.0,2.0,2.0,75.0,2
Built-up  Area,Ready To Move,B Narayanapura,ShentAp,1405.0,2.0,2.0,70.0,3
Built-up  Area,Ready To Move, Devarabeesana Halli,Sorisa ,1750.0,3.0,3.0,149.0,3
Super built-up  Area,Ready To Move,Motappa Layout,Puodse ,1360.0,2.0,1.0,65.0,3
Super built-up  Area,19-Jun,Byrasandra,Sancy R,985.0,2.0,1.0,63.0,2
Super built-up  Area,Ready To Move,7th Phase JP Nagar,Brngsal,1850.0,3.0,2.0,150.0,3
Super built-up  Area,Ready To Move,Rustam Bagh Layout,Srowsee,1490.0,2.0,3.0,88.0,3
Super built-up  Area,Ready To Move,Byagadadhenahalli,VBavaai,620.0,1.0,1.0,25.0,2
Super built-up  Area,Ready To Move,Yelachenahalli,BaiseBa,1080.0,2.0,2.0,55.0,2
Super built-up  Area,Ready To Move,Begur Road,Dhalsh ,1410.0,2.0,3.0,52.17,3
Super built-up  Area,Ready To Move,Hennur Road,Maity W,1290.0,2.0,1.0,94.5,3
Super built-up  Area,19-Mar,Hosa Road,Skume R,1318.0,2.0,1.0,85.28,3
Super built-up  Area,Ready To Move,Electronic City,Prarkun,1128.0,2.0,1.0,68.0,2
Plot  Area,Ready To Move,Meenakunte,Sreat R,4428.0,4.0,2.0,255.0,4
Super built-up  Area,21-Mar,Kanakpura Road,GolusLi,1051.0,2.0,2.0,56.74,2
Plot  Area,Ready To Move,Kannamangala,MIalerd,2400.0,4.0,1.0,130.0,4
Super built-up  Area,Ready To Move,Yelahanka,PuziaVe,1327.0,2.0,3.0,85.0,2
Super built-up  Area,Ready To Move,Thigalarapalya,Prtanha,2912.0,6.0,2.0,210.0,4
Super built-up  Area,Ready To Move,Basapura,Jaangm ,1301.0,2.0,2.0,55.0,2
Built-up  Area,18-Aug,Electronic City Phase II,Sryalan,1000.0,2.0,1.0,28.88,2
Super built-up  Area,19-Nov,Sarjapur  Road,AsastDe,984.0,2.0,1.0,45.91,2
Super built-up  Area,22-May,Jakkur,SoineC ,1819.0,3.0,1.0,160.0,3
Super built-up  Area,18-Apr,Hebbal,Magiaya,1355.0,3.0,1.0,83.87,3
Super built-up  Area,Ready To Move,Sarakki Nagar,Sowerew,2145.0,4.0,1.0,270.0,3
Super built-up  Area,Ready To Move,Malleshwaram,Sariaat,2475.0,4.0,3.0,300.0,3
Super built-up  Area,18-Mar,Hosakerehalli,SoageHe,1304.0,2.0,3.0,100.0,2
Super built-up  Area,Ready To Move,Begur Road,Dhalsh ,1615.0,3.0,2.0,58.0,3
Super built-up  Area,Ready To Move,Sarjapur  Road,Contsci,1400.0,2.0,2.0,68.0,2
Super built-up  Area,Ready To Move,CV Raman Nagar,Villeka,1070.0,2.0,2.0,47.5,2
Super built-up  Area,17-Nov,Hebbal,Emceske,3500.0,3.0,3.0,395.0,3
Super built-up  Area,22-Jun,Hoodi,GoAirej,1132.0,2.0,1.0,89.37,2
Super built-up  Area,Ready To Move,Sector 2 HSR Layout,DShtsow,794.0,1.0,2.0,65.0,1
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,Lancyey,1090.0,2.0,2.0,43.59,2
Super built-up  Area,Ready To Move,Gottigere,Pridei ,1500.0,3.0,2.0,70.0,3
Super built-up  Area,Ready To Move,1st Phase JP Nagar,Prhtsok,2059.0,3.0,2.0,225.0,3
Super built-up  Area,18-May,Bhoganhalli,Rosha I,1447.0,2.0,1.0,75.97,2
Super built-up  Area,20-Dec,Whitefield,VaarkMe,1269.0,2.0,1.0,75.0,2
Super built-up  Area,Ready To Move,Kanakpura Road,Shiew T,1070.0,2.0,2.0,37.45,2
Super built-up  Area,Ready To Move,Ramamurthy Nagar,Cimeshw,1185.0,2.0,1.0,45.5,2
Super built-up  Area,18-Aug,Chandapura,SunceEs,1015.0,2.0,2.0,25.88,2
Super built-up  Area,Ready To Move,Ckikkakammana Halli,Radhian,902.0,2.0,2.0,42.0,2
Super built-up  Area,19-Dec,Binny Pete,She 2rk,1365.0,2.0,1.0,122.0,2
Super built-up  Area,Ready To Move,Doddathoguru,Hincy R,984.0,2.0,1.0,51.0,2
Super built-up  Area,Ready To Move,Haralur Road,NDionas,1300.0,2.0,2.0,79.0,2
Super built-up  Area,Ready To Move,Munivenkatppa Layout,SNiew L,1550.0,2.0,3.0,160.0,2
Plot  Area,18-Mar,Yelahanka,Nileyap,4025.0,5.0,3.0,800.0,4
Super built-up  Area,Ready To Move,Murugeshpalya,Vestas ,1845.0,3.0,3.0,91.0,3
Super built-up  Area,Ready To Move,Sarjapura - Attibele Road,Puownm ,1676.0,3.0,3.0,52.0,3
Super built-up  Area,20-Dec,Uttarahalli,PrdgeLa,1137.0,2.0,1.0,63.0,2
Super built-up  Area,Ready To Move,Electronic City,GMown E,1360.0,2.0,1.0,70.5,3
Super built-up  Area,Ready To Move,Vijaya Bank Layout,FoGemna,1374.0,2.0,2.0,70.0,3
Built-up  Area,Ready To Move,Electronic City Phase II,SNbay G,1790.0,3.0,3.0,100.0,3
Built-up  Area,Ready To Move,Somasundara Palya,Ahhtser,1033.0,2.0,2.0,48.0,2
Super built-up  Area,19-Dec,Binny Pete,She 2rk,2940.0,6.0,2.0,280.0,4
Super built-up  Area,Ready To Move,Kumarapalli,BMmesHo,1240.0,2.0,2.0,52.6,2
Built-up  Area,15-Jun,Outer Ring Road East,SRzonhu,1500.0,2.0,0.0,97.0,3
Super built-up  Area,Ready To Move,Marathahalli,Asintas,1730.0,3.0,3.0,139.0,3
Super built-up  Area,Ready To Move,Whitefield,BainePr,1545.0,3.0,2.0,79.0,3
Plot  Area,Ready To Move,Marsur,AreraRe,1200.0,3.0,1.0,120.0,3
Super built-up  Area,Ready To Move,Lingadheeranahalli,Soiewre,1682.0,3.0,1.0,120.0,3
Built-up  Area,Ready To Move,Yelahanka,Rarthne,1371.0,2.0,2.0,65.0,3
Super built-up  Area,Ready To Move,Ambalipura,SJarkte,1730.0,3.0,1.0,120.0,3
Super built-up  Area,Ready To Move,EPIP Zone,SJlynro,1500.0,3.0,3.0,102.0,3
Carpet  Area,Ready To Move,Lingarajapuram,Glnetch,1203.0,2.0,1.0,59.86,2
Super built-up  Area,Ready To Move,Vasantha Vallabha Nagar,Suensda,1600.0,3.0,2.0,76.0,3
Built-up  Area,Ready To Move,Yelahanka New Town,KHatsFl,350.0,1.0,1.0,13.5,1
Super built-up  Area,Ready To Move,Varthur,MKllei ,1665.0,3.0,1.0,53.0,3
Super built-up  Area,Ready To Move,Haralur Road,NDionas,1444.0,2.0,1.0,80.0,3
Super built-up  Area,Ready To Move,Lingadheeranahalli,Soiewre,1521.0,3.0,1.0,94.71,3
Super built-up  Area,Ready To Move,Old Madras Road,Brica E,2760.0,5.0,2.0,157.0,3
Built-up  Area,Ready To Move,Marathahalli,PueraRi,1325.0,1.0,1.0,92.0,2
Super built-up  Area,Ready To Move,Electronics City Phase 1,SrnesSr,650.0,1.0,1.0,23.0,1
Super built-up  Area,Ready To Move,Electronic City Phase II,MJtroty,769.0,2.0,1.0,40.0,2
Super built-up  Area,Ready To Move,Electronic City,Prarkun,1571.0,3.0,2.0,105.0,3
Super built-up  Area,Ready To Move,Hennur Road,Maity W,1445.0,3.0,1.0,86.56,3
Super built-up  Area,Ready To Move,Hosur Road,Saageat,1590.0,2.0,2.0,135.0,3
Super built-up  Area,Ready To Move,Bommasandra,Niway G,902.0,2.0,2.0,49.0,2
Built-up  Area,Ready To Move,Yelahanka,NCowsar,1712.0,3.0,3.0,82.0,3
Super built-up  Area,Ready To Move,Kundalahalli,Roima A,1920.0,3.0,2.0,150.0,3
Super built-up  Area,Ready To Move,Electronic City,Daives ,1089.0,2.0,2.0,45.0,2
Built-up  Area,Ready To Move,Horamavu Agara,Maows M,1106.0,2.0,1.0,43.09,2
Super built-up  Area,Ready To Move,Kanakpura Road,PuandHi,1339.0,2.0,2.0,58.0,2
Built-up  Area,21-Dec,Thanisandra,Bhe 2ko,923.0,1.0,1.0,45.69,1
Super built-up  Area,Ready To Move,Lakshminarayana Pura,RothaVa,1175.0,2.0,2.0,75.0,2
Built-up  Area,Ready To Move,Thubarahalli,Soowsa ,975.0,2.0,1.0,55.0,2
Super built-up  Area,Ready To Move,Hebbal,Kacesh ,2400.0,4.0,1.0,180.0,3
Super built-up  Area,Ready To Move,Subramanyapura,Prldsri,1330.0,3.0,2.0,72.0,3
Super built-up  Area,20-Dec,Thanisandra,Bhe 2ko,1183.0,2.0,1.0,59.74,2
Built-up  Area,Ready To Move,Pai Layout,SantsAp,1100.0,2.0,2.0,50.0,2
Super built-up  Area,18-Dec,Ramamurthy Nagar,Vaharvi,1170.0,2.0,2.0,46.8,2
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,GrrvaGr,1530.0,3.0,3.0,51.77,3
Built-up  Area,17-Dec,Hebbal,Mahosya,1420.0,2.0,2.0,107.0,2
Super built-up  Area,19-Jan,Kanakpura Road,PrityFa,1591.0,3.0,1.0,115.0,3
Super built-up  Area,19-Dec,Hoodi,Caycend,1055.0,2.0,1.0,57.63,2
Super built-up  Area,Ready To Move,Iblur Village,Sonet G,1918.0,3.0,2.0,129.0,3
Super built-up  Area,18-Jan,Sarjapur  Road,Kelia R,1280.0,2.0,1.0,76.0,2
Super built-up  Area,Ready To Move,Nagarbhavi,DSdhiSa,1560.0,3.0,3.0,66.0,3
Super built-up  Area,Ready To Move,Sarjapur  Road,Usquaya,1145.0,2.0,2.0,49.5,2
Super built-up  Area,Ready To Move,Rajaji Nagar,PhestOn,1718.0,3.0,2.0,288.0,2
Super built-up  Area,20-Jun,Whitefield,Somns T,1306.0,3.0,2.0,54.65,3
Super built-up  Area,19-Jun,Hebbal,Raard B,1320.0,2.0,1.0,92.0,2
Built-up  Area,Ready To Move,Kalyan nagar,AHavenc,3800.0,5.0,3.0,300.0,4
Super built-up  Area,Ready To Move,Bannerghatta Road,DSnjh S,1344.0,2.0,1.0,42.0,3
Super built-up  Area,Ready To Move,Lakshminarayana Pura,RothaVa,1190.0,2.0,1.0,75.0,2
Built-up  Area,Ready To Move,Whitefield,Pranthi,1000.0,2.0,1.0,35.0,2
Plot  Area,Ready To Move,Kalhalli,Keersto,2400.0,2.0,1.0,160.0,2
Super built-up  Area,Ready To Move,Kumaraswami Layout,Mania G,1000.0,2.0,1.0,48.5,2
Super built-up  Area,Ready To Move,Jalahalli,Tahtsla,2113.0,3.0,2.0,155.0,3
Super built-up  Area,Ready To Move,Harlur,Zonce E,1884.0,4.0,2.0,120.0,4
Super built-up  Area,Ready To Move,Electronic City,YCnce R,1110.0,2.0,1.0,40.0,2
Super built-up  Area,Ready To Move,Kudlu,Srrnasa,1027.0,2.0,2.0,43.0,2
Plot  Area,Ready To Move,Hadosiddapura,JRichee,1200.0,3.0,2.0,165.0,3
Super built-up  Area,18-Aug,Kudlu Gate,Sanzaat,703.0,1.0,1.0,52.0,1
Super built-up  Area,Ready To Move,Bellandur,SRageri,1195.0,2.0,2.0,51.0,2
Super built-up  Area,Ready To Move,Narayanapura,Veodsar,1302.0,2.0,1.0,69.1,2
Super built-up  Area,19-Aug,Begur Road,Pruthg ,1583.0,3.0,1.0,74.4,3
Super built-up  Area,Ready To Move,Kumarapalli,BMmesHo,1488.0,2.0,3.0,60.0,3
Super built-up  Area,18-Aug,Kammasandra,DSOakil,1385.0,2.0,2.0,34.63,3
Built-up  Area,18-Jan,Electronic City,Prarkun,1600.0,3.0,2.0,104.0,3
Super built-up  Area,Ready To Move,Old Airport Road,FlsicFl,1150.0,2.0,1.0,90.0,2
Super built-up  Area,20-May,Kanakpura Road,Soena A,1299.0,2.0,2.0,85.0,2
Super built-up  Area,18-Apr,Devanahalli,Sabixtt,1282.0,2.0,2.0,52.43,3
Super built-up  Area,Ready To Move,Kachanayakanahalli,ICoolon,861.0,2.0,1.0,35.0,2
Built-up  Area,Ready To Move,Bannerghatta Road,SNity S,1600.0,3.0,2.0,95.0,3
Super built-up  Area,Ready To Move,Tejaswini Nagar,Naods W,1390.0,2.0,2.0,80.0,3
Super built-up  Area,Ready To Move,Gunjur,Puide P,1195.0,2.0,2.0,44.0,2
Super built-up  Area,Ready To Move,Yelenahalli,Jaers S,1159.0,2.0,1.0,60.0,2
Super built-up  Area,20-Jun,Whitefield,Somns T,1386.0,3.0,1.0,57.46,3
Super built-up  Area,Ready To Move,Harlur,Prncyrn,1197.0,2.0,1.0,79.0,2
Super built-up  Area,18-May,Bommasandra,SSestth,1295.0,2.0,1.0,50.28,3
Super built-up  Area,21-Dec,Whitefield,Preaunt,1132.0,2.0,1.0,79.28,2
Built-up  Area,Ready To Move,6th block Koramangala,Sinde G,2350.0,3.0,2.0,400.0,3
Super built-up  Area,19-Dec,Hebbal,Raard B,1645.0,3.0,2.0,135.0,3
Super built-up  Area,Ready To Move,Marathahalli,Prionad,1937.0,3.0,2.0,140.0,3
Super built-up  Area,Ready To Move,Doddathoguru,Vayali ,1015.0,2.0,2.0,33.5,2
Super built-up  Area,Ready To Move,Kathriguppe,Prone M,1350.0,2.0,2.0,80.99,3
Super built-up  Area,18-Aug,Kengeri Satellite Town,DSestSt,1149.0,2.0,2.0,29.0,3
Plot  Area,Ready To Move,Tindlu,Hentye ,1500.0,3.0,1.0,87.0,3
Super built-up  Area,Ready To Move,Yelahanka,PuziaVe,1566.0,3.0,2.0,97.0,3
Super built-up  Area,Ready To Move,KR Puram,LVniaar,1290.0,2.0,1.0,49.02,2
Super built-up  Area,Ready To Move,Keshava Nagar,ETens G,1839.0,3.0,3.0,165.0,3
Super built-up  Area,18-May,Electronic City Phase II,Sryalan,1400.0,2.0,2.0,40.43,3
Super built-up  Area,Ready To Move,Whitefield,SSthamh,1140.0,2.0,2.0,39.0,2
Super built-up  Area,21-Jun,Tumkur Road,Coowsri,1343.0,3.0,0.0,57.76,3
Built-up  Area,Ready To Move,Kaval Byrasandra,VaasaPr,1100.0,2.0,1.0,46.0,2
Built-up  Area,Ready To Move,Vignana Nagar,Mancyhi,1200.0,2.0,2.0,55.0,2
Super built-up  Area,18-Oct,Whitefield,Prtates,2830.0,5.0,2.0,160.0,4
Super built-up  Area,Ready To Move,Uttarahalli,Omy 2es,1315.0,2.0,2.0,74.0,3
Super built-up  Area,Ready To Move,Anandapura,ViensRK,1141.0,2.0,1.0,42.75,2
Super built-up  Area,Ready To Move,AECS Layout,Srestve,1080.0,2.0,2.0,55.0,2
Super built-up  Area,Ready To Move,HBR Layout,Flretes,1200.0,2.0,2.0,60.0,2
Super built-up  Area,Ready To Move,Varthur,DSingSt,1111.0,2.0,2.0,41.88,2
Super built-up  Area,Ready To Move,Bannerghatta Road,SNity S,1275.0,2.0,2.0,65.0,2
Super built-up  Area,Ready To Move,Battarahalli,Sancy L,1135.0,2.0,3.0,43.0,2
Super built-up  Area,17-Nov,Nagavarapalya,PuonsSe,1392.0,2.0,1.0,130.0,2
Super built-up  Area,Ready To Move,Bellandur,Kritel ,1050.0,2.0,2.0,72.0,2
Super built-up  Area,19-Jun,Hosa Road,Sosisic,1513.0,3.0,1.0,103.0,3
Super built-up  Area,Ready To Move,Gottigere,Sooutnu,1621.0,3.0,3.0,72.0,3
Super built-up  Area,Ready To Move,Bannerghatta Road,Ceise P,892.0,2.0,1.0,39.0,2
Super built-up  Area,Ready To Move,Whitefield,SSthamh,1205.0,2.0,1.0,40.0,2
Super built-up  Area,18-Dec,Hebbal,Magiaya,1355.0,3.0,2.0,83.87,3
Super built-up  Area,Ready To Move,Indira Nagar,Suurtni,1400.0,2.0,2.0,168.0,2
Super built-up  Area,18-Nov,Kengeri,VBn 2lm,726.0,2.0,1.0,35.0,2
Plot  Area,Ready To Move,Singena Agrahara,CoiewSy,1500.0,3.0,2.0,149.0,3
Super built-up  Area,Ready To Move,Begur Road,Visic C,1170.0,2.0,2.0,46.0,2
Super built-up  Area,Ready To Move,Doddathoguru,Saaveas,1104.0,2.0,2.0,39.0,2
Super built-up  Area,Ready To Move,Kanakpura Road,Wiowsri,950.0,2.0,1.0,45.0,2
Built-up  Area,Ready To Move,Hormavu,Prageta,4818.0,4.0,3.0,390.0,4
Built-up  Area,Ready To Move,Canara Bank Colony,Kiagar ,1650.0,2.0,1.0,52.0,3
Super built-up  Area,21-May,Kogilu,Sourtal,1559.0,3.0,2.0,127.0,3
Built-up  Area,Ready To Move,Hanumagiri,Nastadr,1100.0,2.0,1.0,38.0,2
Super built-up  Area,Ready To Move,Benson Town,GathiVa,1750.0,3.0,3.0,150.0,3
Super built-up  Area,18-Jul,Ramagondanahalli,ViistLa,1215.0,2.0,1.0,45.5,2
Super built-up  Area,21-Feb,Talaghattapura,Sodgere,1868.0,3.0,1.0,135.0,3
Super built-up  Area,17-Oct,Hulimavu,ArowsMe,1225.0,2.0,2.0,55.0,2
Super built-up  Area,Ready To Move,Kasturi Nagar,Radenta,1896.0,3.0,1.0,125.0,4
Super built-up  Area,17-Sep,Sonnenahalli,Skacak ,605.0,1.0,1.0,40.0,1
Super built-up  Area,Ready To Move,Electronic City Phase II,Riodsri,900.0,2.0,2.0,32.5,2
Built-up  Area,18-May,Sarjapur  Road,Cetattu,3416.0,6.0,0.0,143.0,4
Super built-up  Area,Ready To Move,Thanisandra,Soitya ,3216.0,4.0,1.0,226.0,4
Super built-up  Area,Ready To Move,Hulimavu,RatosAr,1255.0,2.0,2.0,74.0,2
Built-up  Area,Ready To Move,Electronic City,GMown E,1500.0,2.0,1.0,100.0,3
Super built-up  Area,18-Feb,Thanisandra,Bhmesy ,1296.0,2.0,2.0,72.0,2
Built-up  Area,Ready To Move,Raja Rajeshwari Nagar,Mahla T,1023.0,2.0,2.0,42.0,2
Super built-up  Area,18-May,Thanisandra,SLityee,1020.0,2.0,1.0,44.5,2
Super built-up  Area,17-Jul,Choodasandra,Sainei ,1530.0,3.0,2.0,77.0,3
Built-up  Area,Ready To Move,Vijaya Bank Layout,Dhise P,1605.0,2.0,3.0,85.0,3
Built-up  Area,Ready To Move,6th Phase JP Nagar,SNpalaj,1140.0,2.0,2.0,65.0,2
Super built-up  Area,Ready To Move,Green Glen Layout,Soionar,1725.0,3.0,2.0,130.0,3
Super built-up  Area,Ready To Move,Bisuvanahalli,Prityel,1075.0,2.0,1.0,50.0,3
Super built-up  Area,Ready To Move,Kannamangala,Sonue A,1574.0,3.0,1.0,93.34,3
Super built-up  Area,Ready To Move,Marathahalli,Valdsic,1550.0,3.0,2.0,83.0,3
Super built-up  Area,Ready To Move,Akshayanagara West,Ajomaa ,1205.0,2.0,2.0,60.0,2
Super built-up  Area,Ready To Move,Kambipura,Prrtht ,1082.0,2.0,1.0,55.0,3
Super built-up  Area,Ready To Move,Uttarahalli,Ayaya A,1215.0,2.0,2.0,52.85,3
Super built-up  Area,Ready To Move,Hebbal,Prersis,2483.0,5.0,2.0,230.0,4
Super built-up  Area,Ready To Move,Kanakpura Road,JRrnauv,1452.0,3.0,3.0,60.98,3
Super built-up  Area,18-Apr,Electronic City Phase II,MJtroty,1329.0,2.0,2.0,41.0,3
Super built-up  Area,Ready To Move,Uttarahalli,Niiewem,1312.0,3.0,0.0,51.19,3
Super built-up  Area,19-Oct,Hebbal,SNontle,2600.0,3.0,2.0,195.0,3
Built-up  Area,18-Dec,Electronic City Phase II,Sryalan,1220.0,3.0,1.0,35.23,3
Super built-up  Area,Ready To Move,Pai Layout,Kencyes,1255.0,2.0,1.0,80.0,2
Super built-up  Area,Ready To Move,Keshava Nagar,ETens G,1904.0,3.0,3.0,155.0,3
Super built-up  Area,Ready To Move,Murugeshpalya,IBaveen,2135.0,3.0,2.0,160.0,3
Super built-up  Area,Ready To Move,Kalena Agrahara,PrncyRe,800.0,2.0,2.0,30.0,2
Super built-up  Area,Ready To Move,Hormavu,Ocock R,1500.0,3.0,3.0,70.0,3
Super built-up  Area,Ready To Move,Bannerghatta Road,SNity S,1880.0,3.0,2.0,95.0,3
Super built-up  Area,Ready To Move,Electronic City,Pa II E,1440.0,2.0,2.0,55.0,3
Super built-up  Area,18-Mar,Varthur,Hirio L,1097.0,2.0,1.0,33.82,2
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,Sithand,1070.0,2.0,1.0,50.0,2
Super built-up  Area,Ready To Move,Kumaraswami Layout,Mania G,1000.0,2.0,1.0,58.0,2
Built-up  Area,Ready To Move,Frazer Town,Clint E,1900.0,4.0,2.0,145.0,3
Built-up  Area,Ready To Move,Jigani,DLhtsen,937.0,2.0,1.0,44.0,2
Built-up  Area,Ready To Move,Green Glen Layout,Blisera,1075.0,2.0,1.0,60.0,2
Super built-up  Area,Ready To Move,Ashwathnagar,GMentAp,936.0,2.0,2.0,43.0,2
Super built-up  Area,Ready To Move,Marathahalli,Asintas,1350.0,2.0,1.0,86.0,2
Super built-up  Area,Ready To Move,Mallasandra,GMilse ,1325.0,2.0,1.0,70.0,2
Super built-up  Area,18-Apr,Devanahalli,Oznuean,1174.0,2.0,1.0,59.0,2
Super built-up  Area,Ready To Move,Hosur Road,Saageat,1890.0,3.0,2.0,162.0,3
Built-up  Area,Ready To Move,Yelahanka,Niareum,1653.0,3.0,2.0,120.0,3
Super built-up  Area,Ready To Move,Bisuvanahalli,Prityel,1075.0,2.0,1.0,52.0,3
Super built-up  Area,Ready To Move,7th Phase JP Nagar,Kaiew L,1212.0,3.0,1.0,42.0,2
Built-up  Area,Ready To Move,Hoysalanagar,Mamesi ,1100.0,2.0,1.0,50.0,2
Super built-up  Area,Ready To Move,Rajaji Nagar,PhestOn,3436.0,6.0,3.0,500.0,4
Super built-up  Area,Ready To Move,Kudlu Gate,Srier P,1532.0,3.0,2.0,83.0,3
Plot  Area,Ready To Move,Doddaballapur,Vahid O,2776.0,4.0,2.0,195.0,3
Super built-up  Area,Ready To Move,Padmanabhanagar,Naasyak,1531.0,2.0,0.0,75.0,3
Super built-up  Area,18-Dec,Uttarahalli,DSera S,1325.0,2.0,1.0,53.0,2
Super built-up  Area,17-Apr,Electronic City,Sie 2is,1156.0,2.0,2.0,44.0,3
Super built-up  Area,Ready To Move,Bannerghatta Road,SNity S,1260.0,2.0,2.0,70.0,2
Super built-up  Area,Ready To Move,Vittasandra,Prlla C,1934.0,2.0,0.0,90.0,2
Super built-up  Area,Ready To Move,Kasavanhalli,HMonymp,1476.0,3.0,1.0,95.0,3
Super built-up  Area,Ready To Move,Murugeshpalya,Rallaa ,1185.0,2.0,1.0,85.0,2
Super built-up  Area,Ready To Move,Channasandra Layout,Aconyit,1265.0,2.0,1.0,82.0,3
Super built-up  Area,Ready To Move,Whitefield,Pae 1ov,1195.0,2.0,1.0,70.0,2
Super built-up  Area,Ready To Move,Hosur Road,Collsrn,1180.0,2.0,2.0,36.5,2
Super built-up  Area,Ready To Move,Jakkur,Elidet ,1050.0,2.0,1.0,49.87,2
Built-up  Area,Ready To Move,Subramanyapura,Prldsri,929.0,2.0,1.0,48.0,2
Super built-up  Area,Ready To Move,Jigani,DLhtsen,1252.0,3.0,3.0,61.0,3
Built-up  Area,Ready To Move,Green Glen Layout,Soionar,1485.0,3.0,2.0,115.0,3
Super built-up  Area,Ready To Move,Electronics City Phase 1,Courf T,1124.0,2.0,2.0,55.0,3
Super built-up  Area,19-Mar,Hennur Road,Puachal,1482.0,2.0,3.0,97.0,3
Super built-up  Area,Ready To Move,Jalahalli,BrardCo,1570.0,3.0,2.0,140.0,3
Super built-up  Area,19-Sep,Chandapura,SuVue S,520.0,1.0,1.0,14.04,1
Super built-up  Area,Ready To Move,OLd Gurappanapalya,SoliaMa,2000.0,3.0,2.0,160.0,3
Super built-up  Area,Ready To Move,Prithvi Layout,Prlmsge,1352.0,2.0,2.0,75.0,2
Super built-up  Area,18-Apr,Electronic City,Prarkun,1152.0,2.0,1.0,65.0,2
Super built-up  Area,Ready To Move,Hegde Nagar,SoitaCa,1965.0,4.0,2.0,125.0,3
Built-up  Area,Ready To Move,Ramanjaneyanagar,Siite E,1300.0,2.0,2.0,70.0,3
Super built-up  Area,Ready To Move,Hoskote,Thiced ,1740.0,3.0,3.0,60.0,3
Built-up  Area,Ready To Move,Bannerghatta Road,Dhncyud,1788.0,3.0,2.0,90.0,3
Super built-up  Area,19-Dec,Kanakapura,GoityEt,1151.0,2.0,1.0,59.0,2
Super built-up  Area,Ready To Move,Uttarahalli,Evood S,1300.0,2.0,2.0,60.0,3
Super built-up  Area,19-Jun,Hebbal,Raard B,1645.0,3.0,2.0,117.0,3
Super built-up  Area,Ready To Move,7th Phase JP Nagar,BriumMi,1175.0,2.0,2.0,82.5,2
Built-up  Area,Ready To Move,Dasarahalli,Syonyph,1150.0,2.0,0.0,70.0,2
Super built-up  Area,20-Jan,Balagere,Soresea,1007.0,2.0,1.0,65.0,2
Super built-up  Area,Ready To Move,Marathahalli,PueraRi,4000.0,4.0,3.0,220.0,4
Super built-up  Area,Ready To Move,B Channasandra,PrncyRe,1080.0,2.0,1.0,45.0,2
Super built-up  Area,Ready To Move,Electronic City,GMown E,1070.0,2.0,1.0,60.0,2
Super built-up  Area,Ready To Move,Kadubeesanahalli,PrpiaSr,1532.0,3.0,1.0,115.0,3
Super built-up  Area,Ready To Move,Hennur,MDncyhi,1040.0,2.0,2.0,42.12,2
Plot  Area,Ready To Move,Laxmi Sagar Layout,Pudgear,3100.0,3.0,3.0,250.0,3
Super built-up  Area,21-Jun,Tumkur Road,Coowsri,1137.0,2.0,0.0,48.905,2
Super built-up  Area,Ready To Move,Thanisandra,MenueNo,1430.0,2.0,2.0,51.6,3
Super built-up  Area,Ready To Move,Panduranga Nagar,SApusnu,1827.0,3.0,3.0,100.0,3
Super built-up  Area,Ready To Move,HRBR Layout,Srayatr,1210.0,2.0,1.0,75.0,2
Super built-up  Area,Ready To Move,New Thippasandra,Srmitev,1500.0,3.0,3.0,95.0,3
Super built-up  Area,21-Mar,Hebbal,Oztarol,1251.0,2.0,1.0,88.73,2
Super built-up  Area,Ready To Move,HSR Layout,RotatHa,1600.0,2.0,2.0,115.0,3
Super built-up  Area,18-Apr,Electronic City,Prarkun,1128.0,2.0,1.0,65.5,2
Super built-up  Area,Ready To Move,Budigere,PrityTr,1820.0,3.0,2.0,93.0,3
Super built-up  Area,Ready To Move,Thigalarapalya,Prtanha,2072.0,4.0,2.0,159.0,3
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,Dehts H,1510.0,2.0,3.0,59.0,3
Super built-up  Area,Ready To Move,Hoodi,SMaxyay,1925.0,2.0,3.0,114.0,3
Plot  Area,Ready To Move,Hennur Road,LGapeon,2651.0,2.0,2.0,225.0,3
Super built-up  Area,Ready To Move,Thigalarapalya,Prtanha,2072.0,4.0,2.0,147.0,3
Super built-up  Area,Ready To Move,Kumaraswami Layout,GancyRe,1000.0,2.0,2.0,36.0,2
Plot  Area,Ready To Move,KR Puram,Salle F,1752.0,3.0,2.0,145.0,3
Super built-up  Area,Ready To Move,Sahakara Nagar,ArrdsOr,960.0,2.0,3.0,56.0,2
